"PiratesID","PlayerName","C","1B","2B","3B","SS","LF","CF","RF","DH","Total","split"
"BA0774C4-01F1-47FA-8A5E-03B1B4B41747","Fraizer, Matthew",0,0,0,0,0,0,0,0,0,0,"vR"
"3AC9A4ED-9A4E-41D0-9E5E-050D793EB145","Rodriguez, Endy",0.95,0,0,0,0,0,0,0,0,0.95,"vR"
"86D4DD35-6065-4C58-B179-142B3EB1F261","Kiner-Falefa, Isiah",0,0,0,0.0500000000000001,0.9,0,0,0,0,0.95,"vR"
"35AAEF7F-5126-4672-8381-1C1A11987301","Gonzales, Nick",0,0,0,0,0,0,0,0,0,0,"vR"
"498A1C60-5504-4B37-B55E-2A9C7603295C","Alfonzo, Omar",0,0,0,0,0,0,0,0,0,0,"vR"
"4D26FA77-78AC-4D93-AB10-33B66EE4C570","Dixon, Brenden",0,0,0,0,0,0,0,0,0,0,"vR"
"01CC6EA7-2C09-4EBF-BE4A-462C0D1D62FD","Brannigan, Jack",0,0,0,0,0,0,0,0,0,0,"vR"
"4CEB4B6E-F394-4027-B84E-6F02FB0B758A","Joe, Connor",0,0,0,0,0,0,0,0,0,0,"vR"
"43808884-3A60-4C58-91D9-733DECC19C5D","Nunez, Malcom",0,0,0,0,0,0,0,0,0,0,"vR"
"40872636-BFC0-43BB-BC3E-762EF128DF1B","Siani, Sammy",0,0,0,0,0,0,0,0,0,0,"vR"
"747A36B7-D9B9-47D0-B779-76AA657DDAE9","Triolo, Jared",0,0.95,0,0,0,0,0,0,0,0.95,"vR"
"47DEAFFD-4F56-446B-A802-798056590644","White, Lonnie",0,0,0,0,0,0,0,0,0,0,"vR"
"A2F4B30D-2928-4AE4-B04F-9FF5D05056B6","Cheng, Tsung-Che",0,0,0,0,0,0,0,0,0,0,"vR"
"9C4A5E1B-EEF2-4F1E-8EEB-A5E424392C04","Johnson, Termarr",0,0,0,0,0,0,0,0,0,0,"vR"
"8972B2A0-6EC6-4E86-9B0F-BDBA22E01FC3","Davis, Henry",0.05,0,0,0,0,0,0,0,0,0.05,"vR"
"96EB74FF-47D7-455A-9035-C437140658F9","Peguero, Liover",0,0,0,0,0,0,0,0,0,0,"vR"
"48B0CDA6-ABEA-40EC-8120-C7EE12CEB3E6","Cruz, Oneil",0,0,0,0,0,0,0.95,0,0,0.95,"vR"
"ED5E2598-AC2E-4DE9-8CAC-F7E83584E907","Delay, Jason",0,0,0,0,0,0,0,0,0,0,"vR"
"A00F0D4C-5055-4972-8FEB-F8A5341D3E27","Gray, Tristan",0,0,0,0,0,0,0,0,0,0,"vR"
"B0334A4A-75F9-43D0-A820-FB2B0798F217","Gonzalez, Tres",0,0,0,0,0,0,0,0,0,0,"vR"
"84F1F26C-E571-49A0-975D-B462FF94BAC4","Suwinski, Jack",0,0,0,0,0,0.95,0,0,0,0.95,"vR"
"439B816A-C971-4D38-A8AD-6C304FB24322","Bae, Ji Hwan",0,0,0.05,0,0.1,0,0,0,0,0.15,"vR"
"2DAC7862-21DD-4926-8452-075757D9CCCB","Reynolds, Bryan",0,0,0,0,0,0.05,0,0.2,0.7,0.95,"vR"
"009D4835-E755-4184-8C6A-06928AF3AFF8","Williams, Alika",0,0,0,0,0,0,0,0,0,0,"vR"
"2ACA9DF3-EF28-4B57-B44F-3FD8F828E7BD","Ross, Shawn",0,0,0,0,0,0,0,0,0,0,"vR"
"9EBA4841-31B6-418A-940F-403DCB051683","Jebb, Mitch",0,0,0,0,0,0,0,0,0,0,"vR"
"605B29B6-A799-4365-9DF3-38950881252E","Plaz, Axiel",0,0,0,0,0,0,0,0,0,0,"vR"
"F60BA2BB-B7D6-4F68-8FFD-64C9CA954EC7","Cook, Billy",0,0.0499999999999997,0,0,0,0,0.0499999999999998,0.8,0,0.9,"vR"
"678A7484-50D4-4305-9442-1B7CA2C48EC1","Palacios, Joshua",0,0,0,0,0,0,0,0,0,0,"vR"
"FD3DC6B8-92C4-46E2-9417-7A55E7C0FF83","McCutchen, Andrew",0,0,0,0,0,0,0,0,0.3,0.3,"vR"
"BE3D141B-1544-41F8-BC97-EAC790E212CF","Bins, Carter",0,0,0,0,0,0,0,0,0,0,"vR"
"C8C312D9-81DE-4440-ABB7-01B15F38FBE1","Valdez, Esmerlyn",0,0,0,0,0,0,0,0,0,0,"vR"
"50EC0FE4-8960-4188-A1A3-36AAE400E1E3","Yorke, Nicholas",0,0,0.95,0,0,0,0,0,0,0.95,"vR"
"45BA15E2-1D09-41EF-91E5-B0441AAF2F22","Cabbage, Trey",0,0,0,0,0,0,0,0,0,0,"vR"
"5DF0B280-C557-4E6F-BAE4-2780363A7267","Delgado, Keiner",0,0,0,0,0,0,0,0,0,0,"vR"
"3C4A9F14-4799-4BBF-90DB-B81360703DDF","Bowen, Jase",0,0,0,0,0,0,0,0,0,0,"vR"
"DCD53311-6B0E-45FF-BDAA-C87AFB3FBAB5","De La Cruz, Bryan",0,0,0,0,0,0,0,0,0,0,"vR"
"5A8523F2-CE2C-455D-99CD-398A193A2D4B","Bart, Joey",0,0,0,0,0,0,0,0,0,0,"vR"
"3A20E7D2-CAF6-4FCC-8009-3990CB11E5DD","Gorski, Matthew",0,0,0,0,0,0,0,0,0,0,"vR"
"318682BC-7E40-43DC-8752-3DE50A9AEF1A","Hayes, Ke'Bryan",0,0,0,0.95,0,0,0,0,0,0.95,"vR"
"04D07E02-089E-4505-B5E9-3E03C166B02E","Matthiessen, Will",0,0,0,0,0,0,0,0,0,0,"vR"
"3AC9A4ED-9A4E-41D0-9E5E-050D793EB145","Rodriguez, Endy",0,0,0,0,0,0,0,0,0,0,"vL"
"86D4DD35-6065-4C58-B179-142B3EB1F261","Kiner-Falefa, Isiah",0,0,0,0,0.95,0,0,0,0,0.95,"vL"
"35AAEF7F-5126-4672-8381-1C1A11987301","Gonzales, Nick",0,0,0.85,0.0500000000000001,0.0499999999999999,0,0,0,0,0.95,"vL"
"4D26FA77-78AC-4D93-AB10-33B66EE4C570","Dixon, Brenden",0,0,0,0,0,0,0,0,0,0,"vL"
"01CC6EA7-2C09-4EBF-BE4A-462C0D1D62FD","Brannigan, Jack",0,0,0,0,0,0,0,0,0,0,"vL"
"4CEB4B6E-F394-4027-B84E-6F02FB0B758A","Joe, Connor",0,0.95,0,0,0,0,0,0,0,0.95,"vL"
"43808884-3A60-4C58-91D9-733DECC19C5D","Nunez, Malcom",0,0,0,0,0,0,0,0,0,0,"vL"
"747A36B7-D9B9-47D0-B779-76AA657DDAE9","Triolo, Jared",0,0.0499999999999999,0,0,0,0,0,0,0,0.0499999999999999,"vL"
"47DEAFFD-4F56-446B-A802-798056590644","White, Lonnie",0,0,0,0,0,0,0,0,0,0,"vL"
"A2F4B30D-2928-4AE4-B04F-9FF5D05056B6","Cheng, Tsung-Che",0,0,0,0,0,0,0,0,0,0,"vL"
"9C4A5E1B-EEF2-4F1E-8EEB-A5E424392C04","Johnson, Termarr",0,0,0,0,0,0,0,0,0,0,"vL"
"30791EAF-80A7-4A41-B586-B1EA1766465F","Cimillo, Nick",0,0,0,0,0,0,0,0,0,0,"vL"
"8972B2A0-6EC6-4E86-9B0F-BDBA22E01FC3","Davis, Henry",0.95,0,0,0,0,0,0,0,0,0.95,"vL"
"96EB74FF-47D7-455A-9035-C437140658F9","Peguero, Liover",0,0,0,0,0,0,0,0,0,0,"vL"
"48B0CDA6-ABEA-40EC-8120-C7EE12CEB3E6","Cruz, Oneil",0,0,0,0,0,0,0.95,0,0,0.95,"vL"
"0C13480A-28B6-4E2D-8B66-DC14E735ED72","Ramirez, Richard",0,0,0,0,0,0,0,0,0,0,"vL"
"ED5E2598-AC2E-4DE9-8CAC-F7E83584E907","Delay, Jason",0,0,0,0,0,0,0,0,0,0,"vL"
"A00F0D4C-5055-4972-8FEB-F8A5341D3E27","Gray, Tristan",0,0,0,0,0,0,0,0,0,0,"vL"
"84F1F26C-E571-49A0-975D-B462FF94BAC4","Suwinski, Jack",0,0,0,0,0,0,0,0,0,0,"vL"
"439B816A-C971-4D38-A8AD-6C304FB24322","Bae, Ji Hwan",0,0,0,0,0,0,0,0,0,0,"vL"
"2DAC7862-21DD-4926-8452-075757D9CCCB","Reynolds, Bryan",0,0,0,0,0,0.65,0,0,0.3,0.95,"vL"
"009D4835-E755-4184-8C6A-06928AF3AFF8","Williams, Alika",0,0,0,0,0,0,0,0,0,0,"vL"
"2ACA9DF3-EF28-4B57-B44F-3FD8F828E7BD","Ross, Shawn",0,0,0,0,0,0,0,0,0,0,"vL"
"605B29B6-A799-4365-9DF3-38950881252E","Plaz, Axiel",0,0,0,0,0,0,0,0,0,0,"vL"
"F60BA2BB-B7D6-4F68-8FFD-64C9CA954EC7","Cook, Billy",0,0,0,0,0,0,0.0500000000000002,0.9,0,0.95,"vL"
"678A7484-50D4-4305-9442-1B7CA2C48EC1","Palacios, Joshua",0,0,0,0,0,0,0,0,0,0,"vL"
"FD3DC6B8-92C4-46E2-9417-7A55E7C0FF83","McCutchen, Andrew",0,0,0,0,0,0,0,0,0.7,0.7,"vL"
"BE3D141B-1544-41F8-BC97-EAC790E212CF","Bins, Carter",0,0,0,0,0,0,0,0,0,0,"vL"
"C8C312D9-81DE-4440-ABB7-01B15F38FBE1","Valdez, Esmerlyn",0,0,0,0,0,0,0,0,0,0,"vL"
"50EC0FE4-8960-4188-A1A3-36AAE400E1E3","Yorke, Nicholas",0,0,0.15,0,0,0,0,0,0,0.15,"vL"
"45BA15E2-1D09-41EF-91E5-B0441AAF2F22","Cabbage, Trey",0,0,0,0,0,0,0,0,0,0,"vL"
"5DF0B280-C557-4E6F-BAE4-2780363A7267","Delgado, Keiner",0,0,0,0,0,0,0,0,0,0,"vL"
"3C4A9F14-4799-4BBF-90DB-B81360703DDF","Bowen, Jase",0,0,0,0,0,0,0,0,0,0,"vL"
"DCD53311-6B0E-45FF-BDAA-C87AFB3FBAB5","De La Cruz, Bryan",0,0,0,0,0,0.35,0,0.1,0,0.45,"vL"
"5A8523F2-CE2C-455D-99CD-398A193A2D4B","Bart, Joey",0.0500000000000001,0,0,0,0,0,0,0,0,0.0500000000000001,"vL"
"3A20E7D2-CAF6-4FCC-8009-3990CB11E5DD","Gorski, Matthew",0,0,0,0,0,0,0,0,0,0,"vL"
"318682BC-7E40-43DC-8752-3DE50A9AEF1A","Hayes, Ke'Bryan",0,0,0,0.95,0,0,0,0,0,0.95,"vL"
"04D07E02-089E-4505-B5E9-3E03C166B02E","Matthiessen, Will",0,0,0,0,0,0,0,0,0,0,"vL"
"3DF21F75-39B4-4305-9BE8-2E291B68238D","Pichardo, Kervin",0,0,0,0,0,0,0,0,0,0,"vL"
"68D06A46-DD37-4D89-99B2-0CE91D3ACE4A","Shockley, Dylan",0,0,0,0,0,0,0,0,0,0,"vL"
"009D4835-E755-4184-8C6A-06928AF3AFF8","Williams, Alika",0,0,0,0,0,0,0,0,0,0,"vB"
"01CC6EA7-2C09-4EBF-BE4A-462C0D1D62FD","Brannigan, Jack",0,0,0,0,0,0,0,0,0,0,"vB"
"04D07E02-089E-4505-B5E9-3E03C166B02E","Matthiessen, Will",0,0,0,0,0,0,0,0,0,0,"vB"
"0C13480A-28B6-4E2D-8B66-DC14E735ED72","Ramirez, Richard",0,0,0,0,0,0,0,0,0,0,"vB"
"2ACA9DF3-EF28-4B57-B44F-3FD8F828E7BD","Ross, Shawn",0,0,0,0,0,0,0,0,0,0,"vB"
"2DAC7862-21DD-4926-8452-075757D9CCCB","Reynolds, Bryan",0,0,0,0,0,0.23,0,0.14,0.58,0.95,"vB"
"30791EAF-80A7-4A41-B586-B1EA1766465F","Cimillo, Nick",0,0,0,0,0,0,0,0,0,0,"vB"
"318682BC-7E40-43DC-8752-3DE50A9AEF1A","Hayes, Ke'Bryan",0,0,0,0.95,0,0,0,0,0,0.95,"vB"
"35AAEF7F-5126-4672-8381-1C1A11987301","Gonzales, Nick",0,0,0.255,0.015,0.015,0,0,0,0,0.285,"vB"
"3A20E7D2-CAF6-4FCC-8009-3990CB11E5DD","Gorski, Matthew",0,0,0,0,0,0,0,0,0,0,"vB"
"3AC9A4ED-9A4E-41D0-9E5E-050D793EB145","Rodriguez, Endy",0.665,0,0,0,0,0,0,0,0,0.665,"vB"
"3C4A9F14-4799-4BBF-90DB-B81360703DDF","Bowen, Jase",0,0,0,0,0,0,0,0,0,0,"vB"
"3DF21F75-39B4-4305-9BE8-2E291B68238D","Pichardo, Kervin",0,0,0,0,0,0,0,0,0,0,"vB"
"40872636-BFC0-43BB-BC3E-762EF128DF1B","Siani, Sammy",0,0,0,0,0,0,0,0,0,0,"vB"
"43808884-3A60-4C58-91D9-733DECC19C5D","Nunez, Malcom",0,0,0,0,0,0,0,0,0,0,"vB"
"439B816A-C971-4D38-A8AD-6C304FB24322","Bae, Ji Hwan",0,0,0.035,0,0.0700000000000002,0,0,0,0,0.105,"vB"
"45BA15E2-1D09-41EF-91E5-B0441AAF2F22","Cabbage, Trey",0,0,0,0,0,0,0,0,0,0,"vB"
"47DEAFFD-4F56-446B-A802-798056590644","White, Lonnie",0,0,0,0,0,0,0,0,0,0,"vB"
"48B0CDA6-ABEA-40EC-8120-C7EE12CEB3E6","Cruz, Oneil",0,0,0,0,0,0,0.95,0,0,0.95,"vB"
"498A1C60-5504-4B37-B55E-2A9C7603295C","Alfonzo, Omar",0,0,0,0,0,0,0,0,0,0,"vB"
"4CEB4B6E-F394-4027-B84E-6F02FB0B758A","Joe, Connor",0,0.285,0,0,0,0,0,0,0,0.285,"vB"
"4D26FA77-78AC-4D93-AB10-33B66EE4C570","Dixon, Brenden",0,0,0,0,0,0,0,0,0,0,"vB"
"50EC0FE4-8960-4188-A1A3-36AAE400E1E3","Yorke, Nicholas",0,0,0.71,0,0,0,0,0,0,0.71,"vB"
"5A8523F2-CE2C-455D-99CD-398A193A2D4B","Bart, Joey",0.015,0,0,0,0,0,0,0,0,0.015,"vB"
"5DF0B280-C557-4E6F-BAE4-2780363A7267","Delgado, Keiner",0,0,0,0,0,0,0,0,0,0,"vB"
"605B29B6-A799-4365-9DF3-38950881252E","Plaz, Axiel",0,0,0,0,0,0,0,0,0,0,"vB"
"678A7484-50D4-4305-9442-1B7CA2C48EC1","Palacios, Joshua",0,0,0,0,0,0,0,0,0,0,"vB"
"68D06A46-DD37-4D89-99B2-0CE91D3ACE4A","Shockley, Dylan",0,0,0,0,0,0,0,0,0,0,"vB"
"747A36B7-D9B9-47D0-B779-76AA657DDAE9","Triolo, Jared",0,0.68,0,0,0,0,0,0,0,0.68,"vB"
"84F1F26C-E571-49A0-975D-B462FF94BAC4","Suwinski, Jack",0,0,0,0,0,0.665,0,0,0,0.665,"vB"
"86D4DD35-6065-4C58-B179-142B3EB1F261","Kiner-Falefa, Isiah",0,0,0,0.0350000000000001,0.915,0,0,0,0,0.95,"vB"
"8972B2A0-6EC6-4E86-9B0F-BDBA22E01FC3","Davis, Henry",0.32,0,0,0,0,0,0,0,0,0.32,"vB"
"96EB74FF-47D7-455A-9035-C437140658F9","Peguero, Liover",0,0,0,0,0,0,0,0,0,0,"vB"
"9C4A5E1B-EEF2-4F1E-8EEB-A5E424392C04","Johnson, Termarr",0,0,0,0,0,0,0,0,0,0,"vB"
"9EBA4841-31B6-418A-940F-403DCB051683","Jebb, Mitch",0,0,0,0,0,0,0,0,0,0,"vB"
"A00F0D4C-5055-4972-8FEB-F8A5341D3E27","Gray, Tristan",0,0,0,0,0,0,0,0,0,0,"vB"
"A2F4B30D-2928-4AE4-B04F-9FF5D05056B6","Cheng, Tsung-Che",0,0,0,0,0,0,0,0,0,0,"vB"
"B0334A4A-75F9-43D0-A820-FB2B0798F217","Gonzalez, Tres",0,0,0,0,0,0,0,0,0,0,"vB"
"BA0774C4-01F1-47FA-8A5E-03B1B4B41747","Fraizer, Matthew",0,0,0,0,0,0,0,0,0,0,"vB"
"BE3D141B-1544-41F8-BC97-EAC790E212CF","Bins, Carter",0,0,0,0,0,0,0,0,0,0,"vB"
"C8C312D9-81DE-4440-ABB7-01B15F38FBE1","Valdez, Esmerlyn",0,0,0,0,0,0,0,0,0,0,"vB"
"DCD53311-6B0E-45FF-BDAA-C87AFB3FBAB5","De La Cruz, Bryan",0,0,0,0,0,0.105,0,0.0300000000000001,0,0.135,"vB"
"ED5E2598-AC2E-4DE9-8CAC-F7E83584E907","Delay, Jason",0,0,0,0,0,0,0,0,0,0,"vB"
"F60BA2BB-B7D6-4F68-8FFD-64C9CA954EC7","Cook, Billy",0,0.0349999999999998,0,0,0,0,0.0499999999999999,0.83,0,0.915,"vB"
"FD3DC6B8-92C4-46E2-9417-7A55E7C0FF83","McCutchen, Andrew",0,0,0,0,0,0,0,0,0.42,0.42,"vB"
