Org,runVal,RAA,WAA,Wins
MIA,28.11,-50.55,-5.06,75.94
BOS,87.47,8.81,0.88,81.88
CLE,102.13,23.47,2.35,83.35
BAL,100.88,22.23,2.22,83.22
NY,61.59,-17.07,-1.71,79.29
DET,63.97,-14.69,-1.47,79.53
MIL,97.77,19.11,1.91,82.91
MIN,70.15,-8.51,-0.85,80.15
CWS,1.04,-77.62,-7.76,73.24
STL,102.85,24.19,2.42,83.42
ATL,137.72,59.06,5.91,86.91
PHI,80.10,1.44,0.14,81.14
PIT,63.92,-14.74,-1.47,79.53
COL,15.81,-62.85,-6.28,74.72
SD,87.56,8.90,0.89,81.89
KC,61.29,-17.37,-1.74,79.26
ATH,18.45,-60.21,-6.02,74.98
LAA,82.17,3.51,0.35,81.35
NYY,106.43,27.78,2.78,83.78
ARI,75.81,-2.85,-0.28,80.72
TOR,110.31,31.66,3.17,84.17
CHI,95.07,16.41,1.64,82.64
TEX,102.99,24.33,2.43,83.43
LA,149.05,70.40,7.04,88.04
TB,81.34,2.68,0.27,81.27
SF,78.28,-0.38,-0.04,80.96
CIN,45.70,-32.96,-3.30,77.70
HOU,119.67,41.01,4.10,85.10
SEA,89.22,10.57,1.06,82.06
WSH,42.87,-35.78,-3.58,77.42