"PiratesID","PlayerName","split","C","1B","2B","3B","SS","LF","CF","RF","DH","Total"
"72F658AD-A5AF-4F85-AA87-A7048ECF9699","Terrero, Enmanuel","vR",0,0,0,0,0,0,0,0,0,0
"747A36B7-D9B9-47D0-B779-76AA657DDAE9","Triolo, Jared","vR",0,0.377,0.025,0.08,0.023,0,0,0,0,0.505
"78EEAFE7-DBA4-4F96-9896-D91C716D799B","Nunez, Lennyn","vR",0,0,0,0,0,0,0,0,0,0
"7ACE6FC2-1810-40F1-BE44-DE54B257BC61","Campana, Sergio","vR",0,0,0,0,0,0,0,0,0,0
"84F1F26C-E571-49A0-975D-B462FF94BAC4","Suwinski, Jack","vR",0,0,0,0,0,0.325,0.129,0.272,0,0.726
"86D4DD35-6065-4C58-B179-142B3EB1F261","Kiner-Falefa, Isiah","vR",0,0,0.16,0.198,0.216,0,0.000999999999999997,0,0,0.575
"8972B2A0-6EC6-4E86-9B0F-BDBA22E01FC3","Davis, Henry","vR",0.228,0,0,0,0,0,0,0.002,0.027,0.257
"96EB74FF-47D7-455A-9035-C437140658F9","Peguero, Liover","vR",0,0,0,0,0,0,0,0,0,0
"9C4A5E1B-EEF2-4F1E-8EEB-A5E424392C04","Johnson, Termarr","vR",0,0,0.001,0,0.059,0,0,0,0,0.06
"9EBA4841-31B6-418A-940F-403DCB051683","Jebb, Mitch","vR",0,0,0,0,0,0,0,0,0,0
"A00F0D4C-5055-4972-8FEB-F8A5341D3E27","Gray, Tristan","vR",0,0.121,0.00300000000000001,0,0.069,0,0,0,0,0.193
"A2F4B30D-2928-4AE4-B04F-9FF5D05056B6","Cheng, Tsung-Che","vR",0,0,0.022,0,0.081,0,0,0,0,0.103
"A470C81E-B887-4500-8937-088182BEC787","Hendrie, Wyatt","vR",0,0,0,0,0,0,0,0,0,0
"A49D124E-9309-415B-8F90-62026B20D292","Brown, Luke","vR",0,0,0,0,0,0,0,0,0,0
"B0334A4A-75F9-43D0-A820-FB2B0798F217","Gonzalez, Tres","vR",0,0,0,0,0,0,0,0,0,0
"B8DED8F1-AD7B-467B-B872-84913A88FFCE","Gourson, Duce","vR",0,0,0,0,0,0,0,0,0,0
"BA0774C4-01F1-47FA-8A5E-03B1B4B41747","Fraizer, Matthew","vR",0,0,0,0,0,0,0,0,0,0
"BE3D141B-1544-41F8-BC97-EAC790E212CF","Bins, Carter","vR",0,0,0,0,0,0,0,0,0,0
"C312AFAE-FE8F-4C21-A561-252C26D7EA6C","Toledo, Jeral","vR",0,0,0,0,0,0,0,0,0,0
"C523F1D6-064B-40D2-85AD-54707F92ED3F","Castillo, Jesus","vR",0,0,0,0,0,0,0,0,0,0
"C8C312D9-81DE-4440-ABB7-01B15F38FBE1","Valdez, Esmerlyn","vR",0,0,0,0,0,0,0,0,0,0
"D041EFCF-8A8E-4D24-A562-D54B77282275","Planchart, Geovanny","vR",0,0,0,0,0,0,0,0,0,0
"DCD53311-6B0E-45FF-BDAA-C87AFB3FBAB5","De La Cruz, Bryan","vR",0,0,0,0,0,0,0.001,0.00300000000000001,0.031,0.035
"E965C63B-D3DF-4C77-AC42-86315D3322E7","Florentino, Edward","vR",0,0,0,0,0,0,0,0,0,0
"ED5E2598-AC2E-4DE9-8CAC-F7E83584E907","Delay, Jason","vR",0,0,0,0,0,0,0,0,0,0
"F19053D6-0F22-4FC9-AD36-C7C90D075D4F","Sightler, Josiah","vR",0,0,0,0,0,0,0,0,0,0
"F60BA2BB-B7D6-4F68-8FFD-64C9CA954EC7","Cook, Billy","vR",0,0.198,0.00699999999999999,0,0,0.024,0.16,0.245,0,0.634
"F78772F1-5A9B-4DF0-B515-B8403A7786B1","Machado, Juan","vR",0,0,0,0,0,0,0,0,0,0
"FC013411-B68B-43E8-8C6D-819CF55C2423","Head, Hudson","vR",0,0,0,0,0,0,0,0,0,0
"FD3DC6B8-92C4-46E2-9417-7A55E7C0FF83","McCutchen, Andrew","vR",0,0,0,0,0,0.043,0,0.038,0.084,0.165
"009D4835-E755-4184-8C6A-06928AF3AFF8","Williams, Alika","vB",0,0,0,0,0,0,0,0,0,0
"01CC6EA7-2C09-4EBF-BE4A-462C0D1D62FD","Brannigan, Jack","vB",0,0,0.0014,0.044,0.0168,0,0,0,0,0.0622
"04D07E02-089E-4505-B5E9-3E03C166B02E","Matthiessen, Will","vB",0,0,0,0,0,0,0,0,0,0
"0914280F-4C00-4110-A916-D3FC933F1AAB","Polanco, Shalin","vB",0,0,0,0,0,0,0,0,0,0
"0C13480A-28B6-4E2D-8B66-DC14E735ED72","Ramirez, Richard","vB",0.0066,0,0,0,0,0,0,0,0,0.0066
"1E5CD79D-592A-4376-B635-05ADC8F97AC1","Miknis, Justin","vB",0,0,0,0,0,0,0,0,0,0
"1F33C436-67D8-4127-9105-A1B72CEB38B1","Severino, Jhonny","vB",0,0,0,0,0,0,0,0,0,0
"23263617-9E78-4701-9539-5B30EF65A95A","Alvarez, Andres","vB",0,0,0,0,0,0,0,0,0,0
"25D96B6A-800A-48D8-8603-65A1F4DA1847","Caro, Carlos","vB",0,0,0,0,0,0,0,0,0,0
"2A312DE8-9259-485D-94D4-33E36EA57113","Maguire, Solomon","vB",0,0,0,0,0,0,0,0,0,0
"2ACA9DF3-EF28-4B57-B44F-3FD8F828E7BD","Ross, Shawn","vB",0.0199777777777778,0,0,0,0,0,0,0,0,0.0199777777777778
"2D6776D8-50AB-4325-B717-B2F4B555F297","Blanco, Tony","vB",0,0,0,0,0,0,0,0,0,0
"2DAC7862-21DD-4926-8452-075757D9CCCB","Reynolds, Bryan","vB",0,0,0,0,0,0.225,0.0736,0.2305,0.3468,0.8759
"2FF1BF80-CCE9-40D1-8A1D-718BE4CDF482","Espinal, Ewry","vB",0,0,0,0,0,0,0,0,0,0
"30791EAF-80A7-4A41-B586-B1EA1766465F","Cimillo, Nick","vB",0,0,0,0,0,0,0,0,0,0
"318682BC-7E40-43DC-8752-3DE50A9AEF1A","Hayes, Ke'Bryan","vB",0,0,0,0.6542,0,0,0,0,0,0.6542
"35AAEF7F-5126-4672-8381-1C1A11987301","Gonzales, Nick","vB",0,0,0.235,0.0835,0.159,0,0,0,0,0.4775
"3A20E7D2-CAF6-4FCC-8009-3990CB11E5DD","Gorski, Matthew","vB",0,0.0089,0,0,0,0.0132,0.0388,0.0312,0,0.0921
"3AC9A4ED-9A4E-41D0-9E5E-050D793EB145","Rodriguez, Endy","vB",0.4999,0,0,0,0,0,0,0,0,0.4999
"3C4A9F14-4799-4BBF-90DB-B81360703DDF","Bowen, Jase","vB",0,0,0,0,0,0,0,0,0,0
"3DF21F75-39B4-4305-9BE8-2E291B68238D","Pichardo, Kervin","vB",0,0,0,0,0,0,0,0,0,0
"40872636-BFC0-43BB-BC3E-762EF128DF1B","Siani, Sammy","vB",0,0,0,0,0,0,0,0,0,0
"417F6953-3CF1-4C54-91DA-C18B50658556","Rivas, Javier","vB",0,0,0,0,0,0,0,0,0,0
"43808884-3A60-4C58-91D9-733DECC19C5D","Nunez, Malcom","vB",0,0.0276,0,0.000300000000000001,0,0,0,0,0,0.0279
"439B816A-C971-4D38-A8AD-6C304FB24322","Bae, Ji Hwan","vB",0,0,0.1029,0,0.1981,0.1148,0.0063,0.00980000000000001,0,0.4319
"441B8645-CC0E-4E50-BA37-647D47E7285C","Wilson, Eli","vB",0,0,0,0,0,0,0,0,0,0
"45BA15E2-1D09-41EF-91E5-B0441AAF2F22","Cabbage, Trey","vB",0,0.0581,0,0,0,0.0168,0,0,0,0.0749
"468054DE-46E3-41E7-B681-E57261819976","Escotto, Maikol","vB",0,0,0,0,0,0,0,0,0,0
"47DEAFFD-4F56-446B-A802-798056590644","White, Lonnie","vB",0,0,0,0,0,0,0,0.000300000000000001,0,0.000300000000000001
"48B0CDA6-ABEA-40EC-8120-C7EE12CEB3E6","Cruz, Oneil","vB",0,0,0,0,0,0,0.4542,0,0.3275,0.7817
"498A1C60-5504-4B37-B55E-2A9C7603295C","Alfonzo, Omar","vB",0,0,0,0,0,0,0,0,0,0
"4CEB4B6E-F394-4027-B84E-6F02FB0B758A","Joe, Connor","vB",0,0.2214,0,0,0,0.0689,0,0.0249,0.0261,0.3413
"4D26FA77-78AC-4D93-AB10-33B66EE4C570","Dixon, Brenden","vB",0,0,0,0,0,0,0,0,0,0
"50EC0FE4-8960-4188-A1A3-36AAE400E1E3","Yorke, Nicholas","vB",0,0,0.4157,0,0.1532,0.0676,0.0471,0,0,0.6836
"5A8523F2-CE2C-455D-99CD-398A193A2D4B","Bart, Joey","vB",0.1816,0,0,0,0,0,0,0,0.0298,0.2114
"5DF0B280-C557-4E6F-BAE4-2780363A7267","Delgado, Keiner","vB",0,0,0,0,0,0,0,0,0,0
"605B29B6-A799-4365-9DF3-38950881252E","Plaz, Axiel","vB",0.012575,0,0,0,0,0,0,0,0,0.012575
"678A7484-50D4-4305-9442-1B7CA2C48EC1","Palacios, Joshua","vB",0,0,0,0,0,0.1092,0.0308,0.1316,0,0.2716
"68D06A46-DD37-4D89-99B2-0CE91D3ACE4A","Shockley, Dylan","vB",0,0,0,0,0,0,0,0,0,0
"7011D16D-110A-44E7-9035-EE4CF2B47F31","Jarvis, Mike","vB",0,0,0,0,0,0,0,0,0,0
"72F658AD-A5AF-4F85-AA87-A7048ECF9699","Terrero, Enmanuel","vB",0,0,0,0,0,0,0,0,0,0
"747A36B7-D9B9-47D0-B779-76AA657DDAE9","Triolo, Jared","vB",0,0.3656,0.0535,0.0695,0.0398,0,0,0,0,0.5284
"764748EA-31C3-4B4A-86E0-803109CED79C","Berg, Derek","vB",0,0,0,0,0,0,0,0,0,0
"78EEAFE7-DBA4-4F96-9896-D91C716D799B","Nunez, Lennyn","vB",0,0,0,0,0,0,0,0,0,0
"7ACE6FC2-1810-40F1-BE44-DE54B257BC61","Campana, Sergio","vB",0,0,0,0,0,0,0,0,0,0
"84F1F26C-E571-49A0-975D-B462FF94BAC4","Suwinski, Jack","vB",0,0,0,0,0,0.2275,0.0909,0.1904,0,0.5088
"86D4DD35-6065-4C58-B179-142B3EB1F261","Kiner-Falefa, Isiah","vB",0,0,0.1546,0.1485,0.2793,0.000300000000000001,0.0073,0,0,0.59
"8972B2A0-6EC6-4E86-9B0F-BDBA22E01FC3","Davis, Henry","vB",0.2544,0,0,0,0,0,0,0.0098,0.0621,0.3263
"91E52D55-E815-45EB-BF2F-BFBE93FEC5FB","Scherrer, Luke","vB",0,0,0,0,0,0,0,0,0,0
"96EB74FF-47D7-455A-9035-C437140658F9","Peguero, Liover","vB",0,0,0.000900000000000002,0,0.0018,0,0,0,0,0.0027
"9C4A5E1B-EEF2-4F1E-8EEB-A5E424392C04","Johnson, Termarr","vB",0,0,7e-04,0,0.0413,0,0,0,0,0.042
"9EBA4841-31B6-418A-940F-403DCB051683","Jebb, Mitch","vB",0,0,0,0,0,0,0,0,0,0
"A00F0D4C-5055-4972-8FEB-F8A5341D3E27","Gray, Tristan","vB",0,0.0847,0.0021,0,0.054,0,0,0,0,0.1408
"A2F4B30D-2928-4AE4-B04F-9FF5D05056B6","Cheng, Tsung-Che","vB",0,0,0.0154,0,0.0567,0,0,0,0,0.0721
"A470C81E-B887-4500-8937-088182BEC787","Hendrie, Wyatt","vB",0,0,0,0,0,0,0,0,0,0
"A49D124E-9309-415B-8F90-62026B20D292","Brown, Luke","vB",0,0,0,0,0,0,0,0,0,0
"B0334A4A-75F9-43D0-A820-FB2B0798F217","Gonzalez, Tres","vB",0,0,0,0,0,0,0,0,0,0
"B43A2CE1-AF7D-4BA1-A79A-1483ED51DB87","Rivero, Jonathan","vB",0,0,0,0,0,0,0,0,0,0
"B64CE026-9BA7-4E28-944C-482A32EA05AA","Glenn, Jackson","vB",0,0,0,0,0,0,0,0,0,0
"B8DED8F1-AD7B-467B-B872-84913A88FFCE","Gourson, Duce","vB",0,0,0,0,0,0,0,0,0,0
"BA0774C4-01F1-47FA-8A5E-03B1B4B41747","Fraizer, Matthew","vB",0,0,0,0,0,0,0,0,0,0
"BC0CBE2C-6F82-4491-BDC6-3F4F82E3026E","De Los Santos, Yordany","vB",0,0,0,0,0,0,0,0,0,0
"BE3D141B-1544-41F8-BC97-EAC790E212CF","Bins, Carter","vB",0.0252,0,0,0,0,0,0,0,0,0.0252
"C312AFAE-FE8F-4C21-A561-252C26D7EA6C","Toledo, Jeral","vB",0,0,0,0,0,0,0,0,0,0
"C523F1D6-064B-40D2-85AD-54707F92ED3F","Castillo, Jesus","vB",0,0,0,0,0,0,0,0,0,0
"C8C312D9-81DE-4440-ABB7-01B15F38FBE1","Valdez, Esmerlyn","vB",0,0.000299999999999999,0,0,0,0,0,0.0063,0,0.0066
"D041EFCF-8A8E-4D24-A562-D54B77282275","Planchart, Geovanny","vB",0,0,0,0,0,0,0,0,0,0
"D97AA147-B8C5-40ED-8C6D-5ABFEB536DA8","Sosa, Miguel","vB",0,0,0,0,0,0,0,0,0,0
"DB98F74F-7181-4115-9CF0-B1751346EABE","Zorrilla, John","vB",0,0,0,0,0,0,0,0,0,0
"DCD53311-6B0E-45FF-BDAA-C87AFB3FBAB5","De La Cruz, Bryan","vB",0,0,0,0,0,0.0648,0.0424,0.0396,0.0664,0.2132
"E5AAB108-6DEA-4780-879F-5AD9CAA8F315","Pena, Jhonson","vB",0,0,0,0,0,0,0,0,0,0
"E965C63B-D3DF-4C77-AC42-86315D3322E7","Florentino, Edward","vB",0,0,0,0,0,0,0,0,0,0
"EABF4FAC-50A5-46FD-999A-73EFF8F865EB","Taylor, Will","vB",0,0,0,0,0,0,0,0,0,0
"EBB04960-B0F0-48D4-825A-3793435ABC4A","Allen, Iverson","vB",0,0,0,0,0,0,0,0,0,0
"ED5E2598-AC2E-4DE9-8CAC-F7E83584E907","Delay, Jason","vB",0,0,0,0,0,0,0,0,0,0
"F19053D6-0F22-4FC9-AD36-C7C90D075D4F","Sightler, Josiah","vB",0,0,0,0,0,0,0,0,0,0
"F60BA2BB-B7D6-4F68-8FFD-64C9CA954EC7","Cook, Billy","vB",0,0.2334,0.0178,0,0,0.0174,0.2086,0.2465,0,0.7237
"F78772F1-5A9B-4DF0-B515-B8403A7786B1","Machado, Juan","vB",0,0,0,0,0,0,0,0,0,0
"FC013411-B68B-43E8-8C6D-819CF55C2423","Head, Hudson","vB",0,0,0,0,0,0,0,0,0,0
"FD3DC6B8-92C4-46E2-9417-7A55E7C0FF83","McCutchen, Andrew","vB",0,0,0,0,0,0.0745,0,0.0791,0.1413,0.2949
